+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                         ;
+-----------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; ram_init_inst|rst_controller_001                                                                                                              ; 33    ; 31             ; 1            ; 31             ; 2      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|rst_controller                                                                                                                  ; 33    ; 31             ; 1            ; 31             ; 2      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|rst_controller|alt_rst_req_sync_uq1                                                                     ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|rst_controller|alt_rst_sync_uq1                                                                         ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|rst_controller                                                                                          ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|avalon_st_adapter|error_adapter_0                                                     ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|avalon_st_adapter                                                                     ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|crosser_001|clock_xer|out_to_in_synchronizer                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|crosser_001|clock_xer|in_to_out_synchronizer                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|crosser_001|clock_xer                                                                 ; 112   ; 0              ; 0            ; 0              ; 108    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|crosser_001                                                                           ; 114   ; 2              ; 0            ; 2              ; 108    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|crosser|clock_xer|out_to_in_synchronizer                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|crosser|clock_xer|in_to_out_synchronizer                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|crosser|clock_xer                                                                     ; 112   ; 0              ; 0            ; 0              ; 108    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|crosser                                                                               ; 114   ; 2              ; 0            ; 2              ; 108    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|rsp_mux_001                                                                           ; 110   ; 0              ; 2            ; 0              ; 108    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|rsp_mux                                                                               ; 110   ; 0              ; 2            ; 0              ; 108    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|rsp_demux                                                                             ; 111   ; 4              ; 2            ; 4              ; 215    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|cmd_mux|arb|adder                                                                     ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|cmd_mux|arb                                                                           ; 6     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|cmd_mux                                                                               ; 217   ; 0              ; 0            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|cmd_demux_001                                                                         ; 110   ; 1              ; 2            ; 1              ; 108    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|cmd_demux                                                                             ; 110   ; 1              ; 2            ; 1              ; 108    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|router_002|the_default_decode                                                         ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|router_002                                                                            ; 108   ; 0              ; 2            ; 0              ; 108    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|router_001|the_default_decode                                                         ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|router_001                                                                            ; 108   ; 3              ; 3            ; 3              ; 108    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|router|the_default_decode                                                             ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|router                                                                                ; 108   ; 3              ; 3            ; 3              ; 108    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|s0_seq_debug_agent_rdata_fifo                                                         ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|s0_seq_debug_agent_rsp_fifo                                                           ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|s0_seq_debug_agent|uncompressor                                                       ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|s0_seq_debug_agent                                                                    ; 291   ; 39             ; 39           ; 39             ; 324    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|seq_bridge_m0_agent                                                                   ; 185   ; 31             ; 76           ; 31             ; 140    ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|dmaster_master_agent                                                                  ; 185   ; 31             ; 76           ; 31             ; 140    ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|s0_seq_debug_translator                                                               ; 115   ; 4              ; 0            ; 4              ; 105    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|seq_bridge_m0_translator                                                              ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1|dmaster_master_translator                                                             ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|mm_interconnect_1                                                                                       ; 179   ; 0              ; 1            ; 0              ; 139    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|seq_bridge                                                                                              ; 98    ; 16             ; 2            ; 16             ; 104    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dll0                                                                                                    ; 2     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|oct0                                                                                                    ; 1     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|c0                                                                                                      ; 469   ; 114            ; 12           ; 114            ; 423    ; 114             ; 114           ; 114             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|rst_controller|alt_rst_req_sync_uq1                                                             ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|rst_controller|alt_rst_sync_uq1                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|rst_controller                                                                                  ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|p2b_adapter                                                                                     ; 14    ; 8              ; 2            ; 8              ; 20     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|b2p_adapter                                                                                     ; 22    ; 0              ; 2            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|transacto|p2m                                                                                   ; 48    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|transacto                                                                                       ; 48    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|p2b                                                                                             ; 22    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|b2p                                                                                             ; 12    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|fifo                                                                                            ; 53    ; 41             ; 0            ; 41             ; 10     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|timing_adt                                                                                      ; 12    ; 0              ; 3            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|source_crosser|crosser                ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|source_crosser                        ; 13    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|output_stage             ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|out_to_in_synchronizer   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|in_to_out_synchronizer   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser                          ; 14    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming|idle_inserter          ; 12    ; 1              ; 0            ; 1              ; 10     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming|idle_remover           ; 12    ; 2              ; 0            ; 2              ; 10     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming                        ; 20    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming                                       ; 19    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master|node                                                           ; 4     ; 3              ; 0            ; 3              ; 8      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster|jtag_phy_embedded_in_jtag_master                                                                ; 38    ; 27             ; 0            ; 27             ; 11     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|dmaster                                                                                                 ; 36    ; 0              ; 0            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|irq_mapper                                                                                           ; 2     ; 32             ; 2            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_005|error_adapter_0                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_005                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_004|error_adapter_0                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_004                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_003|error_adapter_0                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_003                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_002|error_adapter_0                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_002                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_001|error_adapter_0                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter_001                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter|error_adapter_0                                                  ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|avalon_st_adapter                                                                  ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_004|arb|adder                                                              ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_004|arb                                                                    ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_004                                                                        ; 237   ; 0              ; 0            ; 0              ; 119    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_003|arb|adder                                                              ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_003|arb                                                                    ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_003                                                                        ; 237   ; 0              ; 0            ; 0              ; 119    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_002                                                                        ; 120   ; 0              ; 2            ; 0              ; 118    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_001|arb|adder                                                              ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_001|arb                                                                    ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux_001                                                                        ; 237   ; 0              ; 0            ; 0              ; 119    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux|arb|adder                                                                  ; 16    ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux|arb                                                                        ; 8     ; 0              ; 4            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_mux                                                                            ; 471   ; 0              ; 0            ; 0              ; 121    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_demux_005                                                                      ; 120   ; 1              ; 2            ; 1              ; 118    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_demux_004                                                                      ; 121   ; 4              ; 2            ; 4              ; 235    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_demux_003                                                                      ; 120   ; 1              ; 2            ; 1              ; 118    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_demux_002                                                                      ; 122   ; 9              ; 2            ; 9              ; 352    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_demux_001                                                                      ; 121   ; 4              ; 2            ; 4              ; 235    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|rsp_demux                                                                          ; 121   ; 4              ; 2            ; 4              ; 235    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_init_inst|LPDDR2_inst|lpddr2_inst|s0|mm_interconnect_0|cmd_mux_005                                                                        ; 120   ; 0              ; 2            ; 0              ; 118    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
